"","x","y","Date","Ignitions","AR","AT","AVPD","Area"
"3062",149,-35.3,"2017_02",0,14.5,29.6178569793701,2.82923150062561,0.98
"3063",149,-35.3,"2017_03",0,87.1999969482422,25.6580638885498,1.82144892215729,0.98
"3064",149,-35.3,"2017_04",0,48,19.5633335113525,1.19967555999756,0.98
"3065",149,-35.3,"2017_05",0,62.0999984741211,15.8999996185303,0.931658327579498,0.98
"3066",149,-35.3,"2017_06",0,2.59999990463257,13.1099996566772,0.780241549015045,0.98
"3067",149,-35.3,"2017_07",0,25,12.0483875274658,0.72473269701004,0.98
"3068",149,-35.3,"2017_08",0,60.7000007629395,13.1258068084717,0.820385158061981,0.98
"3069",149,-35.3,"2017_09",0,23.8999996185303,17.3066673278809,1.33062839508057,0.98
"3070",149,-35.3,"2017_10",0,56.5,22.5709686279297,1.68200528621674,0.98
"3071",149,-35.3,"2017_11",0,89.4000015258789,23.9599990844727,1.83669316768646,0.98
"3072",149,-35.3,"2017_12",0,119.300003051758,27.3903217315674,2.24173665046692,0.98
"3073",149,-35.3,"2018_01",0,41.4000015258789,30.9774188995361,3.14627122879028,0.98
"3074",149,-35.3,"2018_02",0,75.9000015258789,28.7678565979004,2.70096731185913,0.98
"3075",149,-35.3,"2018_03",0,7,26.445161819458,2.29608154296875,0.98
"3076",149,-35.3,"2018_04",0,21.6000003814697,24.7466659545898,2.03062176704407,0.98
"3077",149,-35.3,"2018_05",0,19.6000003814697,16.7741928100586,1.10041403770447,0.98
"3078",149,-35.3,"2018_06",0,28,12.5766668319702,0.66410619020462,0.98
"3079",149,-35.3,"2018_07",0,8.5,12.5193548202515,0.812404215335846,0.98
"3080",149,-35.3,"2018_08",0,37.7999992370605,13.0903224945068,0.821275293827057,0.98
"3081",149,-35.3,"2018_09",0,29.2999992370605,17.546667098999,1.27383100986481,0.98
"3082",149,-35.3,"2018_10",0,26.7999992370605,22.4161281585693,1.77377438545227,0.98
"3083",149,-35.3,"2018_11",0,69.5,23.9566669464111,1.92673981189728,0.98
"3084",149,-35.3,"2018_12",0,112.300003051758,29.2225799560547,2.76717662811279,0.98
"3085",149,-35.3,"2019_01",0,68.4000015258789,34.4032249450684,3.80165672302246,0.98
"3086",149,-35.3,"2019_02",0,34.4000015258789,29.0678577423096,2.69925737380981,0.98
"3087",149,-35.3,"2019_03",0,80.9000015258789,25.5612907409668,1.94772124290466,0.98
"3088",149,-35.3,"2019_04",0,14.6999998092651,22.3233337402344,1.54914665222168,0.98
"3089",149,-35.3,"2019_05",0,52.4000015258789,16,0.936643958091736,0.98
"3090",149,-35.3,"2019_06",0,20.7000007629395,13.2766666412354,0.762288868427277,0.98
"3091",149,-35.3,"2019_07",0,8.5,12.9516124725342,0.762017130851746,0.98
"3092",149,-35.3,"2019_08",0,34.7999992370605,13.4838705062866,0.874818086624146,0.98
"3093",149,-35.3,"2019_09",0,32.2000007629395,18.1633338928223,1.3507227897644,0.98
"3094",149,-35.3,"2019_10",0,20.5,23.1838703155518,2.03676009178162,0.98
"3095",149,-35.3,"2019_11",0,18.8999996185303,26.046667098999,2.58218812942505,0.98
"3096",149,-35.3,"2019_12",0,3.70000004768372,31.3935489654541,3.7233579158783,0.98
"3097",149,-35.3,"2020_01",0,25.3999996185303,31.6258068084717,3.38850784301758,0.98
"3098",149,-35.3,"2020_02",0,119.199996948242,27.4862060546875,2.24122977256775,0.98
"3099",149,-35.3,"2020_03",0,108.300003051758,23.4193553924561,1.59629034996033,0.98
"3100",149,-35.3,"2020_04",0,105.199996948242,18.6000003814697,0.997009456157684,0.98
"3101",149,-35.3,"2020_05",0,32,14.6967744827271,0.813027620315552,0.98
"3102",149,-35.3,"2020_06",0,54.2000007629395,13.0600004196167,0.678678691387177,0.98
"3103",149,-35.3,"2020_07",0,35.9000015258789,12.7741937637329,0.697349965572357,0.98
"3104",149,-35.3,"2020_08",0,133,12.3387098312378,0.682549059391022,0.98
"3105",149,-35.3,"2020_09",0,53,17.283332824707,1.03417754173279,0.98
"3106",149,-35.3,"2020_10",0,156.100006103516,20.2935485839844,1.23669409751892,0.98
"3107",149,-35.3,"2020_11",0,84.1999969482422,25.1266670227051,1.96215343475342,0.98
"3108",149,-35.3,"2020_12",0,41.0999984741211,25.3322582244873,1.965860247612,0.98
"3109",149,-35.3,"2021_01",0,81.3000030517578,27.8354835510254,2.50370025634766,0.98
"3110",149,-35.3,"2021_02",0,111.199996948242,26.0499992370605,1.95696949958801,0.98
"3111",149,-35.3,"2021_03",0,149.600006103516,22.8032264709473,1.52805483341217,0.98
"3112",149,-35.3,"2021_04",0,1.70000004768372,20.5433330535889,1.4415694475174,0.98
"3113",149,-35.3,"2021_05",0,62.0999984741211,16.0161285400391,0.907530665397644,0.98
"3114",149,-35.3,"2021_06",0,113.900001525879,12.4266662597656,0.605815172195435,0.98
"3115",149,-35.3,"2021_07",0,84,11.26451587677,0.563907027244568,0.98
"3116",149,-35.3,"2021_08",0,46.9000015258789,14.1935482025146,0.82787150144577,0.98
"3117",149,-35.3,"2021_09",0,118,16.9899997711182,1.06169033050537,0.98
"3118",149,-35.3,"2021_10",0,61.7000007629395,18.9516124725342,1.21715843677521,0.98
"3119",149,-35.3,"2021_11",0,213.5,19.9899997711182,1.1365886926651,0.98
"3120",149,-35.3,"2021_12",0,14.1999998092651,24.7571430206299,1.80772268772125,0.98
"3121",149.05,-35.3,"2012_01",0,65.5999984741211,27.3354835510254,2.22708868980408,0.83
"3122",149.05,-35.3,"2012_02",0,115.099998474121,25.0758628845215,1.70166432857513,0.83
"3123",149.05,-35.3,"2012_03",0,242.899993896484,22.2548389434814,1.37684571743011,0.83
"3124",149.05,-35.3,"2012_04",0,49.9000015258789,20.283332824707,1.20920836925507,0.83
"3125",149.05,-35.3,"2012_05",0,25.7999992370605,15.525806427002,0.966237545013428,0.83
"3126",149.05,-35.3,"2012_06",0,38.2000007629395,12.8133335113525,0.668355286121368,0.83
"3127",149.05,-35.3,"2012_07",0,40.7000007629395,12.8419351577759,0.750715553760529,0.83
"3128",149.05,-35.3,"2012_08",0,40.0999984741211,13.3806447982788,0.860907137393951,0.83
"3129",149.05,-35.3,"2012_09",0,39.4000015258789,17.9233341217041,1.22377383708954,0.83
"3130",149.05,-35.3,"2012_10",0,49.9000015258789,21.0612907409668,1.61223924160004,0.83
"3131",149.05,-35.3,"2012_11",0,31.7999992370605,25.5733337402344,2.08866667747498,0.83
"3132",149.05,-35.3,"2012_12",1,40.2000007629395,27.6419353485107,2.4332320690155,0.83
"3133",149.05,-35.3,"2013_01",2,71.4000015258789,32.4677429199219,3.50803136825562,0.83
"3134",149.05,-35.3,"2013_02",2,78.8000030517578,27.6035709381104,2.19484543800354,0.83
"3135",149.05,-35.3,"2013_03",0,27.8999996185303,25.5935478210449,1.98933887481689,0.83
"3136",149.05,-35.3,"2013_04",0,14.1999998092651,22.0566673278809,1.59558176994324,0.83
"3137",149.05,-35.3,"2013_05",0,13.3000001907349,17.0161285400391,1.09303998947144,0.83
"3138",149.05,-35.3,"2013_06",0,77.1999969482422,13.5100002288818,0.711355626583099,0.83
"3139",149.05,-35.3,"2013_07",0,50.5999984741211,13.1290321350098,0.679752111434937,0.83
"3140",149.05,-35.3,"2013_08",0,24.5,14.4064512252808,0.840820550918579,0.83
