"x";"y";"Month";"MR";"MT";"MV"
149;-35,05;"04";NA;NA;NA
149;-35,05;"05";NA;NA;NA
149;-35,05;"06";NA;NA;NA
149;-35,05;"07";NA;NA;NA
149;-35,05;"08";NA;NA;NA
149;-35,05;"09";NA;NA;NA
149;-35,05;"10";NA;NA;NA
149;-35,05;"11";NA;NA;NA
149;-35,05;"12";NA;NA;NA
149,05;-35,05;"01";NA;NA;NA
149,05;-35,05;"02";NA;NA;NA
149,05;-35,05;"03";NA;NA;NA
149,05;-35,05;"04";NA;NA;NA
149,05;-35,05;"05";NA;NA;NA
149,05;-35,05;"06";NA;NA;NA
149,05;-35,05;"07";NA;NA;NA
149,05;-35,05;"08";NA;NA;NA
149,05;-35,05;"09";NA;NA;NA
149,05;-35,05;"10";NA;NA;NA
149,05;-35,05;"11";NA;NA;NA
149,05;-35,05;"12";NA;NA;NA
149,1;-35,05;"01";NA;NA;NA
149,1;-35,05;"02";NA;NA;NA
149,1;-35,05;"03";NA;NA;NA
149,1;-35,05;"04";NA;NA;NA
149,1;-35,05;"05";NA;NA;NA
149,1;-35,05;"06";NA;NA;NA
149,1;-35,05;"07";NA;NA;NA
149,1;-35,05;"08";NA;NA;NA
149,1;-35,05;"09";NA;NA;NA
149,1;-35,05;"10";NA;NA;NA
149,1;-35,05;"11";NA;NA;NA
149,1;-35,05;"12";NA;NA;NA
149,15;-35,05;"01";NA;NA;NA
149,15;-35,05;"02";NA;NA;NA
149,15;-35,05;"03";NA;NA;NA
149,15;-35,05;"04";NA;NA;NA
149,15;-35,05;"05";NA;NA;NA
149,15;-35,05;"06";NA;NA;NA
149,15;-35,05;"07";NA;NA;NA
149,15;-35,05;"08";NA;NA;NA
149,15;-35,05;"09";NA;NA;NA
149,15;-35,05;"10";NA;NA;NA
149,15;-35,05;"11";NA;NA;NA
149,15;-35,05;"12";NA;NA;NA
149,2;-35,05;"01";NA;NA;NA
149,2;-35,05;"02";NA;NA;NA
149,2;-35,05;"03";NA;NA;NA
149,2;-35,05;"04";NA;NA;NA
149,2;-35,05;"05";NA;NA;NA
149,2;-35,05;"06";NA;NA;NA
149,2;-35,05;"07";NA;NA;NA
149,2;-35,05;"08";NA;NA;NA
149,2;-35,05;"09";NA;NA;NA
149,2;-35,05;"10";NA;NA;NA
149,2;-35,05;"11";NA;NA;NA
149,2;-35,05;"12";NA;NA;NA
149,25;-35,05;"01";NA;NA;NA
149,25;-35,05;"02";NA;NA;NA
149,25;-35,05;"03";NA;NA;NA
149,25;-35,05;"04";NA;NA;NA
149,25;-35,05;"05";NA;NA;NA
149,25;-35,05;"06";NA;NA;NA
149,25;-35,05;"07";NA;NA;NA
149,25;-35,05;"08";NA;NA;NA
149,25;-35,05;"09";NA;NA;NA
149,25;-35,05;"10";NA;NA;NA
149,25;-35,05;"11";NA;NA;NA
149,25;-35,05;"12";NA;NA;NA
149,3;-35,05;"01";NA;NA;NA
149,3;-35,05;"02";NA;NA;NA
149,3;-35,05;"03";NA;NA;NA
149,3;-35,05;"04";NA;NA;NA
149,3;-35,05;"05";NA;NA;NA
149,3;-35,05;"06";NA;NA;NA
149,3;-35,05;"07";NA;NA;NA
149,3;-35,05;"08";NA;NA;NA
149,3;-35,05;"09";NA;NA;NA
149,3;-35,05;"10";NA;NA;NA
149,3;-35,05;"11";NA;NA;NA
149,3;-35,05;"12";NA;NA;NA
149,35;-35,05;"01";NA;NA;NA
149,35;-35,05;"02";NA;NA;NA
149,35;-35,05;"03";NA;NA;NA
149,35;-35,05;"04";NA;NA;NA
149,35;-35,05;"05";NA;NA;NA
149,35;-35,05;"06";NA;NA;NA
149,35;-35,05;"07";NA;NA;NA
149,35;-35,05;"08";NA;NA;NA
149,35;-35,05;"09";NA;NA;NA
149,35;-35,05;"10";NA;NA;NA
149,35;-35,05;"11";NA;NA;NA
